provider,region,location,impact,source
gcp,asia-east1,Taiwan,453,https://cloud.google.com/sustainability/region-carbon
gcp,asia-east2,Hong Kong,360,https://cloud.google.com/sustainability/region-carbon
gcp,asia-northeast1,Tokyo,463,https://cloud.google.com/sustainability/region-carbon
gcp,asia-northeast2,Osaka,383,https://cloud.google.com/sustainability/region-carbon
gcp,asia-northeast3,Seoul,425,https://cloud.google.com/sustainability/region-carbon
gcp,asia-south1,Mumbai,555,https://cloud.google.com/sustainability/region-carbon
gcp,asia-south2,Delhi,632,https://cloud.google.com/sustainability/region-carbon
gcp,asia-southeast1,Singapore,372,https://cloud.google.com/sustainability/region-carbon
gcp,asia-southeast2,Jakarta,580,https://cloud.google.com/sustainability/region-carbon
gcp,australia-southeast1,Sydney,538,https://cloud.google.com/sustainability/region-carbon
gcp,australia-southeast2,Melbourne,490,https://cloud.google.com/sustainability/region-carbon
gcp,europe-central2,Warsaw,738,https://cloud.google.com/sustainability/region-carbon
gcp,europe-north1,Finland,112,https://cloud.google.com/sustainability/region-carbon
gcp,europe-southwest1,Madrid,160,https://cloud.google.com/sustainability/region-carbon
gcp,europe-west1,Belgium,123,https://cloud.google.com/sustainability/region-carbon
gcp,europe-west2,London,166,https://cloud.google.com/sustainability/region-carbon
gcp,europe-west3,Frankfurt,413,https://cloud.google.com/sustainability/region-carbon
gcp,europe-west4,Netherlands,317,https://cloud.google.com/sustainability/region-carbon
gcp,europe-west6,Zurich,118,https://cloud.google.com/sustainability/region-carbon
gcp,europe-west8,Milan,323,https://cloud.google.com/sustainability/region-carbon
gcp,europe-west9,Paris,71,https://cloud.google.com/sustainability/region-carbon
gcp,europe-west12,Turin,323,https://cloud.google.com/sustainability/region-carbon
gcp,me-west1,Tel Aviv,476,https://cloud.google.com/sustainability/region-carbon
gcp,northamerica-northeast1,Montréal,0,https://cloud.google.com/sustainability/region-carbon
gcp,northamerica-northeast2,Toronto,36,https://cloud.google.com/sustainability/region-carbon
gcp,southamerica-east1,São Paulo,65,https://cloud.google.com/sustainability/region-carbon
gcp,southamerica-west1,Santiago,165,https://cloud.google.com/sustainability/region-carbon
gcp,us-central1,Iowa,445,https://cloud.google.com/sustainability/region-carbon
gcp,us-east1,South Carolina,532,https://cloud.google.com/sustainability/region-carbon
gcp,us-east4,Northern Virginia,354,https://cloud.google.com/sustainability/region-carbon
gcp,us-east5,Columbus,354,https://cloud.google.com/sustainability/region-carbon
gcp,us-south1,Dallas,342,https://cloud.google.com/sustainability/region-carbon
gcp,us-west1,Oregon,67,https://cloud.google.com/sustainability/region-carbon
gcp,us-west2,Los Angeles,202,https://cloud.google.com/sustainability/region-carbon
gcp,us-west3,Salt Lake City,606,https://cloud.google.com/sustainability/region-carbon
gcp,us-west4,Las Vegas,396,https://cloud.google.com/sustainability/region-carbon